code,name,manufacturer,itemType,ean,defaultCategory,categoryText,categoryText2,price,standardPrice,purchasePrice,currency,percentVat,maxDiscount,applyDiscountCoupon,applyLoyaltyDiscount,applyQuantityDiscount,applyVolumeDiscount,relativeMargin,absoluteMargin,variant_Sila_vrecusok_v_boxe_,stock,availabilityOutOfStock,availabilityInStock,productVisibility
PB14,PABLO X ICE COLD,Pablo,product,5744000760193,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,4.85,4.85,***,EUR,23,3,1,0,0,0,***,***,,31,Vypredane,Skladom,visible
PB12,PABLO RED,Pablo,product,5744000760926,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > PODlA SILY > Najsilnejsie,4.85,4.85,***,EUR,23,3,1,0,0,0,***,***,,32,Vypredane,Skladom,visible
PB10,Pablo ICE COLD,Pablo,product,5744000760186,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > Pablo,Nikotinove vrecuska > PODlA SILY > Stredne silne,4.85,4.85,***,EUR,23,3,1,0,0,0,***,***,,32,Vypredane,Skladom,visible
77CV,77 COLA& VANILLA,77 pouches,product,5905591987837,Nikotinove vrecuska > 77 pouches,Nikotinove vrecuska > 77 pouches,Nikotinove vrecuska > PODlA SILY > Slabe,4.9,4.9,***,EUR,23,,1,0,0,0,***,***,,0,Vypredane,Skladom,visible
KL7,KILLA COLD MINT X,Killa,product,5744000760155,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,Nikotinove vrecuska > PODlA SILY > Stredne silne,4.65,4.65,***,EUR,23,3,0,1,1,1,***,***,,18,Vypredane,Skladom,visible
KL5,KILLA COLA,Killa,product,5744000760100,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,Nikotinove vrecuska > PODlA SILY > Slabe,4.65,4.65,***,EUR,23,3,1,0,0,0,***,***,,17,Vypredane,Skladom,visible
KL12,KILLA MELÓN,Killa,product,5744000760124,Neviditelne produkty,Neviditelne produkty,,4.4,4.4,***,EUR,23,3,1,0,0,0,***,***,,0,Vypredane,Skladom,hidden
KL10,KILLA ENERGY DRINK,Killa,product,5744000760087,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,Nikotinove vrecuska > PODlA SILY > Slabe,4.65,4.65,***,EUR,23,3,1,0,0,0,***,***,,12,Vypredane,Skladom,visible
FC10,FEDRS ICE COOL MINT HARD,Fedrs,product,5907761404793,Nikotinove vrecuska > Fedrs,Nikotinove vrecuska > Fedrs,Nikotinove vrecuska > PODlA SILY > Stredne silne,5.3,5.3,***,EUR,23,,0,1,1,1,***,***,,16,Vypredane,Skladom,visible
KC5,KURWA COLLECTION FRESH COLA & VANILLA CHERRY,Kurwa,product,4779053621291,Nikotinove vrecuska > Kurwa,Nikotinove vrecuska > Kurwa,,4.6,4.6,***,EUR,23,,1,0,0,0,***,***,,20,Vypredane,Skladom,visible
KC3,KURWA COLLECTION BLACK CURRANT & PURPLE GRAPE,Kurwa,product,4779053621307,Nikotinove vrecuska > Kurwa,Nikotinove vrecuska > Kurwa,,4.6,4.6,***,EUR,23,,1,0,0,0,***,***,,0,Vypredane,Skladom,visible
KF2,KURWA FATALITY APPLE ENERGY DRINK,Kurwa,product,4779053620133,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,0,0,0,0,***,***,,0,Vypredane,Skladom,hidden
KF9,KURWA FATALITY COFFEE BANANA FRAPPUCCINO,Kurwa,product,4779053620140,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,0,0,0,***,***,,0,Vypredane,Skladom,hidden
KF7,KURWA FATALITY BRUTAL STRAWBERRY,Kurwa,product,4779053620003,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,0,1,0,***,***,,0,Vypredane,Skladom,hidden
KL6,KILLA COLD MINT,Killa,product,5744000760117,Nikotinove vrecuska > Killa,Nikotinove vrecuska > Killa,,4.65,4.65,***,EUR,23,3,1,0,0,0,***,***,,25,Vypredane,Skladom,visible
282,NICOLIPS nálepka,,product,95687412369,Nase produkty,Nase produkty,,0.5,0.01,***,EUR,23,,0,0,0,0,***,***,,478,Vypredane,Skladom,visible
KC2,KURWA COLLECTION - JUST BERRIES / FORREST BERRIES,Kurwa,product,4779053620218,Nikotinove vrecuska > Kurwa,Nikotinove vrecuska > Kurwa,,4.6,4.6,***,EUR,23,,1,0,0,0,***,***,,0,Vypredane,Skladom,visible
RB1,RABBIT BLUE ICE X-Strong,,product,4779052820213,Neviditelne produkty,Neviditelne produkty,,4.9,4.9,***,EUR,23,,1,0,0,0,***,***,,0,Vypredane,Skladom,hidden
