Klucove_slovo,Typ_zhody,Stav_kriteria,Stav_kampane,Stav_reklamnej_skupiny,Cena,Kliknutia,MP
lyft velo,Frázová zhoda,Aktívne,Pozastavené,Aktívne,0.00 ,0,0.00 %
zuvaj sk,Presná zhoda,Aktívne,Pozastavené,Aktívne,0.00 ,0,0.00 %
pablo,Voľná zhoda,Aktívne,Aktívne,Aktívne,0.00 ,0,0.00 %
Killa,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.00 ,0,0.00 %
kulturistika,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.00 ,0,0.00 %
žuvak,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.00 ,0,0.00 %
czechpods,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.00 ,0,0.00 %
Maradona,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.00 ,0,0.00 %
nicolips,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.06 ,6,54.55 %
nicopods,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.28 ,1,100.00 %
snusim,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.32 ,1,33.33 %
mma,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.41 ,1,0.85 %
nikotínové vrecúška,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,0.60 ,2,11.11 %
velo freeze,Frázová zhoda,Aktívne,Pozastavené,Aktívne,12.30 ,1,5.00 %
nicopods sk,Presná zhoda,Aktívne,Pozastavené,Aktívne,15.76 ,3,20.00 %
nicolips,Voľná zhoda,Aktívne,Aktívne,Aktívne,1 244.06 ,3 727,17.38 %
hokej,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,2.90 ,3,0.61 %
siberia,Frázová zhoda,Aktívne,Pozastavené,Aktívne,22.39 ,9,7.50 %
pablo ice cold,Frázová zhoda,Aktívne,Pozastavené,Aktívne,29.31 ,15,9.26 %
nicopod,Frázová zhoda,Aktívne,Pozastavené,Aktívne,29.89 ,14,23.73 %
vika,Frázová zhoda,Aktívne,Pozastavené,Aktívne,30.18 ,8,3.04 %
ace superwhite,Frázová zhoda,Aktívne,Pozastavené,Aktívne,4.76 ,2,15.38 %
e-cigarety,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,4.97 ,11,4.35 %
nikotininak,Presná zhoda,Aktívne,Pozastavené,Aktívne,5.39 ,2,25.00 %
gymbeam,Voľná zhoda,Aktívne,Pozastavené,Pozastavené,6.53 ,3,1.60 %
Pablo,Voľná zhoda,Aktívne,Pozastavené,Aktívne,66.41 ,42,4.75 %
zuvaj sk,Voľná zhoda,Odstránené,Pozastavené,Aktívne,17.19 ,7,26.92 %
nico sk,Voľná zhoda,Odstránené,Pozastavené,Aktívne,43.24 ,10,3.98 %
nicopods sk,Voľná zhoda,Odstránené,Pozastavené,Aktívne,46.75 ,19,29.69 %
nikotininak,Voľná zhoda,Odstránené,Pozastavené,Aktívne,57.34 ,12,11.88 %
nicopod,Voľná zhoda,Odstránené,Pozastavené,Aktívne,69.57 ,26,9.09 %
