code,name,manufacturer,itemType,ean,defaultCategory,categoryText,categoryText2,price,standardPrice,purchasePrice,currency,percentVat,maxDiscount,applyDiscountCoupon,applyLoyaltyDiscount,applyQuantityDiscount,applyVolumeDiscount,relativeMargin,absoluteMargin,variant_Sila_vrec____ok_v_boxe_,stock,availabilityOutOfStock,availabilityInStock,productVisibility
PB14,PABLO X ICE COLD,Pablo,product,5744000760193,Nikotínové vrecúška > Pablo,Nikotínové vrecúška > Pablo,Nikotínové vrecúška > PODĽA SILY > Najsilnejšie,485,485,352,EUR,23,3,1,0,0,0,2742,108,,31,Vypredané,Skladom,visible
PB12,PABLO RED,Pablo,product,5744000760926,Nikotínové vrecúška > Pablo,Nikotínové vrecúška > Pablo,Nikotínové vrecúška > PODĽA SILY > Najsilnejšie,485,485,352,EUR,23,3,1,0,0,0,2742,108,,32,Vypredané,Skladom,visible
PB10,Pablo ICE COLD,Pablo,product,5744000760186,Nikotínové vrecúška > Pablo,Nikotínové vrecúška > Pablo,Nikotínové vrecúška > PODĽA SILY > Stredne silné,485,485,352,EUR,23,3,1,0,0,0,2742,108,,32,Vypredané,Skladom,visible
77CV,77 COLA& VANILLA,77 pouches,product,5905591987837,Nikotínové vrecúška > 77 pouches,Nikotínové vrecúška > 77 pouches,Nikotínové vrecúška > PODĽA SILY > Slabé,49,49,122,EUR,23,,1,0,0,0,751,299,,0,Vypredané,Skladom,visible
KL7,KILLA COLD MINT X,Killa,product,5744000760155,Nikotínové vrecúška > Killa,Nikotínové vrecúška > Killa,Nikotínové vrecúška > PODĽA SILY > Stredne silné,465,465,325,EUR,23,3,0,1,1,1,3011,114,,18,Vypredané,Skladom,visible
KL5,KILLA COLA,Killa,product,5744000760100,Nikotínové vrecúška > Killa,Nikotínové vrecúška > Killa,Nikotínové vrecúška > PODĽA SILY > Slabé,465,465,325,EUR,23,3,1,0,0,0,3011,114,,17,Vypredané,Skladom,visible
KL12,KILLA MELÓN,Killa,product,5744000760124,Neviditelné produkty,Neviditelné produkty,,44,44,263,EUR,23,3,1,0,0,0,4023,144,,0,Vypredané,Skladom,hidden
KL10,KILLA ENERGY DRINK,Killa,product,5744000760087,Nikotínové vrecúška > Killa,Nikotínové vrecúška > Killa,Nikotínové vrecúška > PODĽA SILY > Slabé,465,465,325,EUR,23,3,1,0,0,0,3011,114,,12,Vypredané,Skladom,visible
FC10,FEDRS ICE COOL MINT HARD,Fedrs,product,5907761404793,Nikotínové vrecúška > Fedrs,Nikotínové vrecúška > Fedrs,Nikotínové vrecúška > PODĽA SILY > Stredne silné,53,53,331,EUR,23,,0,1,1,1,3755,162,,16,Vypredané,Skladom,visible
KC5,KURWA COLLECTION FRESH COLA & VANILLA CHERRY,Kurwa,product,4779053621291,Nikotínové vrecúška > Kurwa,Nikotínové vrecúška > Kurwa,,46,46,246,EUR,23,,1,0,0,0,4652,174,,20,Vypredané,Skladom,visible
KC3,KURWA COLLECTION BLACK CURRANT & PURPLE GRAPE,Kurwa,product,4779053621307,Nikotínové vrecúška > Kurwa,Nikotínové vrecúška > Kurwa,,46,46,246,EUR,23,,1,0,0,0,4652,174,,0,Vypredané,Skladom,visible
KF2,KURWA FATALITY APPLE ENERGY DRINK,Kurwa,product,4779053620133,Neviditelné produkty,Neviditelné produkty,,49,49,222,EUR,23,,0,0,0,0,5469,218,,0,Vypredané,Skladom,hidden
KF9,KURWA FATALITY COFFEE BANANA FRAPPUCCINO,Kurwa,product,4779053620140,Neviditelné produkty,Neviditelné produkty,,49,49,236,EUR,23,,1,0,0,0,5184,206,,0,Vypredané,Skladom,hidden
KF7,KURWA FATALITY BRUTAL STRAWBERRY,Kurwa,product,4779053620003,Neviditelné produkty,Neviditelné produkty,,49,49,222,EUR,23,,1,0,1,0,5469,218,,0,Vypredané,Skladom,hidden
KL6,KILLA COLD MINT,Killa,product,5744000760117,Nikotínové vrecúška > Killa,Nikotínové vrecúška > Killa,,465,465,325,EUR,23,3,1,0,0,0,3011,114,,25,Vypredané,Skladom,visible
282,NICOLIPS nálepka,,product,95687412369,Naše produkty,Naše produkty,,5,1,2,EUR,23,,0,0,0,0,60,25,,478,Vypredané,Skladom,visible
KC2,KURWA COLLECTION - JUST BERRIES / FORREST BERRIES,Kurwa,product,4779053620218,Nikotínové vrecúška > Kurwa,Nikotínové vrecúška > Kurwa,,46,46,246,EUR,23,,1,0,0,0,4652,174,,0,Vypredané,Skladom,visible
RB1,RABBIT BLUE ICE X-Strong,,product,4779052820213,Neviditelné produkty,Neviditelné produkty,,49,49,192,EUR,23,,1,0,0,0,6082,242,,0,Vypredané,Skladom,hidden
KF6,KURWA FATALITY BRUTAL FRUITY GUM,Kurwa,product,4779053620119,Neviditelné produkty,Neviditelné produkty,,49,49,236,EUR,23,,1,0,0,0,5184,206,,0,Vypredané,Skladom,hidden
LS2,LIPS STRAWBERRY,LIPS,product,5744000760179,Nikotínové vrecúška > Lips,Nikotínové vrecúška > PODĽA SILY > Slabé,Nikotínové vrecúška > Lips,42,42,251,EUR,23,,1,1,1,1,4024,137,,6,Vypredané,Skladom,visible
HZ1,HAIZA CBD,,product,5744000760070,Neviditelné produkty,Neviditelné produkty,,84,84,535,EUR,23,5,0,0,0,0,3631,248,,0,Vypredané,Skladom,visible
KF16,KURWA FATALITY LEMON LEMONGRASS,Kurwa,product,4779053620126,Neviditelné produkty,Neviditelné produkty,,49,49,272,EUR,23,,1,1,1,1,4449,177,,0,Vypredané,Skladom,hidden
KL1,KILLA APPLE,Killa,product,5744000760896,Nikotínové vrecúška > Killa,Nikotínové vrecúška > Killa,,465,465,325,EUR,23,3,0,0,0,0,3011,114,,15,Vypredané,Skladom,visible
CA3,CANNADIPS NATURAL MINT,CANNADIPS,product,5907625555005,Neviditelné produkty,Neviditelné produkty,,159,159,103,EUR,23,,1,0,0,0,3522,456,,0,Vypredané,Skladom,visible
CA1,CANNADIPS AMERICAN SPICE,CANNADIPS,product,5907625555012,Neviditelné produkty,Neviditelné produkty,,159,159,103,EUR,23,,1,0,0,0,3522,456,,0,Vypredané,Skladom,visible
381/JE,MYSTERY BOX YELLOW,,product,,Mystery box,Mystery box,,22,22,14,EUR,23,,0,1,1,1,3636,651,Je mi to jedno,2,Vypredané,Skladom,visible
381/NAJ,MYSTERY BOX YELLOW,,product,,Mystery box,Mystery box,,22,22,14,EUR,23,,0,1,1,1,3636,651,Najsilnejšie,0,Vypredané,Skladom,visible
381/SLA,MYSTERY BOX YELLOW,,product,,Mystery box,Mystery box,,22,22,14,EUR,23,,0,1,1,1,3636,651,Slabé,7,Vypredané,Skladom,visible
381/STR,MYSTERY BOX YELLOW,,product,,Mystery box,Mystery box,,22,22,14,EUR,23,,0,1,1,1,3636,651,Stredne silné,5,Vypredané,Skladom,visible
